2024																									
Тестирую концепт Браяна + мои 10/20 сма																									
	Di score W	Di score D	Di score 4h	Total	13 ema	30 sma	bull/bear									моя таблица									
16.03.2024	14	12	8	34	40,7	41,7	bear																		
17.03.2024	14	12	5	31	39,3	41,3	bear																		
18.03.2024	14	12	11	37	39,0	41,2	bear																		
19.03.2024	14	10	6	30	37,7	40,8	bear																		
20.03.2024	14	12	7	33	37,1	40,4	bear																		
21.03.2024	14	11	14	39	37,3	40,5	bear																		
22.03.2024	14	11	13	38	37,4	40,5	bear																		
23.03.2024	14	11	10	35	37,1	40,4	bear																		
24.03.2024	14	12	10	36	36,9	40,6	bear																		
25.03.2024	16	15	16	47	38,4	41,0	bear																		
26.03.2024	16	15	16	47	39,6	41,3	bear																		
27.03.2024	16	14	11	41	39,8	41,3	bear																		
28.03.2024	16	16	10	42	40,1	41,1	bear																		
29.03.2024	16	17	9	42	40,4	41,0	bear																		
30.03.2024	16	17	9	42	40,6	40,8	bear																		
31.03.2024	16	17	10	43	41,0	40,8	bull	69404																	
01.04.2024	14	15	12	41	41,0	40,7	bull																		
02.04.2024	14	11	5	30	39,4	40,3	bear	65304																	
03.04.2024	14	8	4	26	37,5	39,6	bear																		
04.04.2024	14	12	6	32	36,7	39,2	bear																		
05.04.2024	14	11	11	36	36,6	38,9	bear																		
06.04.2024	14	12	15	41	37,2	38,8	bear																		
07.04.2024	14	13	16	43	38,1	38,7	bear																		
08.04.2024	13	14	14	41	38,5	38,5	bear																		
09.04.2024	13	14	14	41	38,8	38,3	bull	71560																	
10.04.2024	13	15	10	38	38,7	38,1	bull																		
11.04.2024	13	15	15	43	39,3	38,1	bull																		
12.04.2024	13	9	15	37	39,0	37,9	bull																		
13.04.2024	13	8	7	28	37,4	37,5	bear	67100																	
14.04.2024	13	10	8	31	36,5	37,5	bear																		
15.04.2024	13	8	10	31	35,7	37,4	bear																		
16.04.2024	13	8	8	29	34,8	37,3	bear																		
17.04.2024	13	8	6	27	33,7	37,0	bear																		
18.04.2024	13	8	3	24	32,3	36,8	bear																		
